Hanzi	Definition	Pinyin	Pinyin2	HSK	Formation	Examples
地	earth, soil, ground, region, structural particle (used before a verb or adjective)	dì	de	3	Pictophonetic - Earth 土 with 也 (phonetic)	地图[dìtú]: map<br>地方[dìfāng]: region, regional (away from the central administration)<br>地铁[dìtiě]: subway, metro
到	to arrive, go to (a place), until (a time), up to, to go	dào		2	Pictophonetic - Arrive 至 indicates the meaning while 刂 provides the sound	迟到[chídào]: to arrive late<br>遇到[yùdào]: meet with, run into, encounter<br>到处[dàochù]: everywhere
以	to use, according to, so as to, in order to, by	yǐ		2	Ideograph - Cease 已 (not 己) inverted	可以[kěyǐ]: can, may, possible, able to<br>所以[suǒyǐ]: therefore, as a result, so<br>以前[yǐqián]: before, formerly
说	to speak, to say, to talk, to scold, to upbraid	shuō	shuì, yuè	1	Pictophonetic - Speech 讠 suggests the meaning while 兑 provides the pronunciation.	说话[shuōhuà]: to speak, to say, to talk, to gossip, to tell stories<br>小说[xiǎoshuō]: novel, fiction<br>说明[shuōmíng]: explain, illustrate, show
时	o'clock, time, when, hour, season	shí		1	Pictophonetic - Sun 日 with inch 寸 (phonetic)	时候[shíhou]: time, length of time, moment, period<br>小时[xiǎoshí]: hour<br>时间[shíjiān]: time
要	to demand, to ask, to request, to coerce, necessary	yào	yāo	2	Pictograph - Picture of a woman 女 with hands on her waist 覀.	主要[zhǔyào]: main, principal, major, primary<br>要求[yāoqiú]: demand, require, claim, ask<br>重要[zhòngyào]: important, significant, major
就	at once, then, right away, only, just	jiù		2	Pictophonetic - Specially 尤 suggests the meaning while 京 provides the pronunciation.	成就[chéngjiù]: achievement, success<br>将就[jiāngjiu]: accept (a bit reluctantly), put up with<br>就业[jiùyè]: looking for employment, getting a job, to start a career
出	to go out, to come out, to occur, to produce, to go beyond	chū		1	Pictograph - Picture of a foot 屮 coming out of a container 凵	出租车[chūzūchē]: taxi, (Taiwan) rental car<br>出发[chūfā]: to start out, to set off<br>出差[chūchāi]: to go on an official or business trip
会	can, be possible, be able to, to assemble, to meet	huì	kuài	1	Ideograph - Human beings 人 meets mother nature (clouds 云)	一会儿[yīhuìér]: a little while, a moment<br>会议[huìyì]: meeting, conference<br>机会[jīhuì]: chance, opportunity
可	may, can, -able, possibly, able to	kě	kè	2	Ideograph - agreed verbally 口	可以[kěyǐ]: can, may, possible, able to<br>可能[kěnéng]: possible, maybe, possibility, may<br>可爱[kěài]: adorable, cute, lovely
也	also, too, (in classical Chinese) final particle serving as copula	yě		2	Pictograph - picture of a water funnel	也许[yěxǔ]: perhaps, maybe<br>也就是说[yějiùshìshuō]: in other words, that is to say, so, thus<br>也好[yěhǎo]: may as well
你	you, second person pronoun	nǐ		1	Pictophonetic - Person 亻 with the phonetic component 尔	你们[nǐmen]: you (plural)<br>你好[nǐhǎo]: hello, hi, how are you?<br>迷你[mínǐ]: mini (as in mini-skirt or Mini Cooper) (loanword)
对	couple, pair, to be opposite, to oppose, to face	duì		1	Ideograph - a pair of hands 又 and 寸	对不起[duìbuqǐ]: unworthy, to let down, I'm sorry, excuse me, pardon me<br>反对[fǎnduì]: to fight against, to oppose, to be opposed to, opposition<br>对于[duìyú]: regarding, as far as something is concerned, with regards to
生	to be born, to give birth, life, to grow, living	shēng		1	Pictograph - A plant 屮 sprouting from the earth 土	先生[xiānsheng]: Mister (Mr.)<br>医生[yīshēng]: doctor<br>学生[xuésheng]: student, school child
能	can, may, capable, energy, able	néng		1	Ideograph - A body 月 with claws 匕, suggesting capable	可能[kěnéng]: possible, maybe, possibility, may<br>能力[nénglì]: capability, capable, able, bility<br>功能[gōngnéng]: function, capability
而	and, as well as, but (not), yet (not), (shows causal relation)	ér		3	Pictograph - Picture of a beard	而且[érqiě]: (not only ...) but also, moreover, in addition, furthermore<br>然而[ránér]: however, yet, but<br>从而[cóngér]: thus, thereby
子	son, child, seed, egg, child	zǐ	zi	1	Pictograph - picture of an infant in a wrap, with outstretched arms and bundled legs	儿子[érzi]: son<br>杯子[bēizi]: cup, glass<br>桌子[zhuōzi]: table, desk
那	that, that one, those, then, in that case	nà	nǎ, nā, nèi	1	Ideograph - City 阝 of people wearing cloths 冄 made of grasses	那儿[nàr]: there<br>刹那[chànà]: an instant (Sanskrit: ksana), split second, the twinkling of an eye<br>那个[nèigè]: that one
得	to obtain, to get, to gain, to catch (a disease), proper	dé	děi, de	2	Pictophonetic - Steps 彳 suggests the meaning while -- provides the pronunciation.	觉得[juéde]: to think, to feel<br>记得[jìde]: to remember<br>不得不[bùdébù]: have no choice or option but to, cannot but, have to, can't help it, can't avoid
于	in, on, at, go to, surname Yu	yú		3	Ideograph - Simplified form of 於	关于[guānyú]: about, on, concerning<br>终于[zhōngyú]: at last, in the end, finally, eventually<br>于是[yúshì]: as a result, thereupon
着	to catch, to receive, to suffer, to make move, to take action	zhē	zhāo, zhuó, zháo	2	Ideograph - Keep eyes 目 on sheeps 羊	着急[zháojí]: to worry, to feel anxious, Taiwan pron. zhao1 ji2<br>接着[jiēzhe]: to catch and hold on, to continue, to go on to do something, to follow, to carry on<br>随着[suízhe]: with
下	down, downwards, below, lower, later	xià		1	Ideograph - indicating below the line 一 or heaven 一	下午[xiàwǔ]: afternoon<br>下雨[xiàyǔ]: to rain, rainy<br>一下[yīxià]: (used after a verb to indicate a short, quick, random, informal action)
自	from, self, oneself, since, private	zì		3	Ideograph - Picture of a nose, referring to oneself. Chinese point to their nose when they refer to themselves	自己[zìjǐ]: oneself, one's own<br>自行车[zìxíngchē]: bike<br>来自[láizì]: come from
之	marks preceding phrase as modifier of following phrase, it, him her, them, go to	zhī		4	Pictograph - picture of a foot on the ground 一, cursive form of 止	百分之[bǎifēnzhī]: percent<br>总之[zǒngzhī]: in a word, in short, in brief<br>之际[zhījì]: during, at the time of
年	year, new-years, age of a person	nián		1	Pictograph - Picture of a man carrying grains 禾, a yearly event	去年[qùnián]: last year<br>年级[niánjí]: grade, year<br>年轻[niánqīng]: young
过	to pass, to pass through, to go across, to die, death	guò	guō	2	Pictophonetic - Simplified form of 過, arrive on foot 辶, 咼 provides sound	经过[jīngguò]: pass, go through, as a result of<br>过去[guòqù]: (in the) past, former, previous, to go over, to pass by<br>难过[nánguò]: feel sorry, be grieved
发	hair, to send out, to happen, to occur, to show (one's feeling)	fā	fà	3	Pictophonetic - Simplified form 髮, bow 弓 with phonetic 癹	发烧[fāshāo]: have a high temperature (from illness), have a fever<br>发现[fāxiàn]: to find, to discover<br>头发[tóufa]: hair (on the head)
后	back, behind, rear, afterwards, after	hòu		1	Ideograph - Person learning forward(厂一) to orders from a person's mouth 口	后面[hòumian]: rear, back, behind, later, afterwards<br>后来[hòulái]: afterwards, later<br>最后[zuìhòu]: final, last, finally, ultimate
作	make, work, compose, write, act	zuò	zuō	1	Pictophonetic - Person 亻 with the phonetic component 乍	工作[gōngzuò]: job, work, construction, task<br>作业[zuòyè]: homework, operation, task, work<br>作家[zuòjiā]: writer
里	inside, Chinese mile, village, lane, neighborhood	lǐ		1	Ideograph - a measure of land 土 and fields 田, a 里 is half a kilometer.	公里[gōnglǐ]: kilometer<br>里程碑[lǐchéngbēi]: milestone<br>佛罗里达[fúluólǐdá]: Florida
用	to use, to employ, to apply, to operate, use	yòng		3	Ideograph - Divine 卜(altered) with middle 中(altered)	信用卡[xìnyòngkǎ]: credit card<br>作用[zuòyòng]: action, function, act on, affect<br>使用[shǐyòng]: to use, to employ, to apply, to make use of
道	direction, way, method, road, path	dào		2	Ideograph - A person's head 首 moves on the road 辶	知道[zhīdào]: to know, to be aware of, also pron. zhi1 dao5<br>街道[jiēdào]: street<br>味道[wèidào]: flavor, smell, hint of
行	all right, ok, to go, to walk, to move	xíng	háng	3	Pictophonetic - Picture of a street intersection	自行车[zìxíngchē]: bike<br>行李箱[xínglixiāng]: suitcase, baggage compartment, overhead bin, (car) trunk, boot<br>银行[yínháng]: bank
所	actually, place, location, classifier for houses, small buildings	suǒ		2	Pictophonetic - Swinging an axe 斤 like a door 户. 户 provides the sound	所以[suǒyǐ]: therefore, as a result, so<br>厕所[cèsuǒ]: bathroom, restroom, toilet, lavatory<br>所有[suǒyǒu]: all, to have, to possess, to own
然	yes, certainly, correct, right, so	rán		2	Ideograph - Dog 犬 meat 月 on fire 灬	虽然[suīrán]: although<br>当然[dāngrán]: only natural, as it should be, certainly, of course, without doubt<br>然后[ránhòu]: after, then (afterwards), after that, afterwards
家	house, home, residence, family, domesticated	jiā		1	Pictophonetic - House 宀 suggests the meaning while 豕 provides the pronunciation.	大家[dàjiā]: authority, everyone<br>国家[guójiā]: country, state, nation<br>作家[zuòjiā]: writer
种	seed, race, breed, kind(measure word), type(measure word)	zhǒng	zhòng	3	Pictophonetic - Grain 禾 suggests the meaning while 中 provides the pronunciation.	种类[zhǒnglèi]: kind, genus, type, category, variety<br>品种[pǐnzhǒng]: breed, variety<br>播种[bōzhǒng]: to sow seeds, sowing, seed
事	matter, thing, item, work, affair	shì		2	Ideograph - Combination of script 史 with altered 之 (phonetic)	事情[shìqíng]: matter, affair, thing, business<br>同事[tóngshì]: colleague, co-worker<br>故事[gùshi]: narrative, story, tale
成	to finish, to complete, to accomplish, to become, to turn into	chéng		3	Pictophonetic - Lance 戊 with 丁(phonetic)	完成[wánchéng]: complete, accomplish, perfect tense (grammar)<br>成绩[chéngjì]: success, achievement, score<br>养成[yǎngchéng]: cultivate-succeed, form, acquire, cultivate
方	square, quadrilateral, direction, one side, just	fāng		3	Ideograph - A person 人 with a carpenter's square 工	北方[běifāng]: north, the northern part a country, China north of the Yellow River<br>地方[dìfāng]: region, regional (away from the central administration)<br>方便[fāngbiàn]: convenient, to help out, to make things easy for people, convenience, suitable
多	much, many, more than, over, a lot of	duō		1	Ideograph - two nights (or moons) 夕, suggesting more or many	多少[duōshao]: how much, how many, which (number), as much as<br>多么[duōme]: how (wonderful etc), what (a great idea etc), however (difficult it may be etc)<br>差不多[chàbuduō]: almost, nearly, more or less
经	through, after, classics, sacred book, scripture	jīng		2	Pictophonetic - Thread 纟 provides the meaning while the right component (simplified form of 巠) provides the sound	已经[yǐjīng]: already<br>经常[jīngcháng]: day to day, everyday, daily, frequently, constantly<br>经理[jīnglǐ]: manager, director
么	interrogative particle, repetition of a tune small, tender	me	ma	1	Pictophonetic - Simplified form of 麼, 幺 means tiny or very young, 麻 provides sound	什么[shénme]: what?, who?, something, anything<br>怎么[zěnme]: how?, what?, why?<br>怎么样[zěnmeyàng]: how?, how about?, how was it?, how are things?
去	to go away, to leave, to remove, to depart	qù		1	Ideograph - Speak 厶(variant of 口) with a leaving person 土(altered shape of a person)	去年[qùnián]: last year<br>过去[guòqù]: (in the) past, former, previous, to go over, to pass by<br>去世[qùshì]: to pass away, to die
法	law, rule, regulation, method, way	fǎ		3	Pictophonetic - Water 氵represents the meaning while 去 provides the sound	办法[bànfǎ]: way, means, measure<br>方法[fāngfǎ]: method, way, means<br>法律[fǎlǜ]: law, legal
学	learn, study, science, knowledge, school	xué		1	Ideograph - Kids 子 study under a roof 冖	同学[tóngxué]: fellow student, schoolmate<br>学习[xuéxí]: to learn, to study<br>学校[xuéxiào]: school
如	as, as if, such as, like, supposing	rú		3	Ideograph - Woman 女 followings words 口 from father or husband	如果[rúguǒ]: if, in case, in the event that<br>例如[lìrú]: for example, for instance, such as<br>比如[bǐrú]: for example, for instance, such as
都	all, both, entirely (due to)each, even, already	dōu	dū	1	Pictophonetic - City 阝 suggests the meaning while 者 provides the pronunciation.	首都[shǒudōu]: capital<br>全都[quándōu]: all, without exception<br>京都[jīngdū]: Kyoto, Japan
同	like, same, similar, together, alike	tóng	tòng	1	Ideograph - covered 冂 by one 一 mouth 口	同学[tóngxué]: fellow student, schoolmate<br>同事[tóngshì]: colleague, co-worker<br>同意[tóngyì]: to agree, to consent, to approve
现	to appear, to present, to manifest, to become visible, now	xiàn		1	Pictophonetic - Jade 王 indicates the meaning while 见 provides the sound	现在[xiànzài]: now, at present, at the moment, modern, current<br>发现[fāxiàn]: to find, to discover<br>出现[chūxiàn]: to appear, to arise, to emerge, to show up
当	to be, to act as, manage, withstand, when	dāng	dàng	3	Pictophonetic - Simplified form of 當, Pictophonetic, field 田 with 尚 (phonetic)	当然[dāngrán]: only natural, as it should be, certainly, of course, without doubt<br>当时[dāngshí]: then, at that time, while<br>上当[shàngdàng]: taken in (by somebody's deceit), to be fooled, to be duped
没	none, have not, not, to sink, to submerge	méi	mò	1	Pictophonetic - Water 氵 with the phonetic component 殳	没关系[méiguānxi]: it doesn't matter<br>埋没[máimò]: to engulf, to bury, to overlook, to stifle, to neglect<br>淹没[yānmò]: submerged
动	to use, to act, to move, to change, movement	dòng		2	Pictophonetic - Strength or power 力 with heavy 重 (phonetic)	运动[yùndòng]: be in motion, move about, sport<br>动物[dòngwù]: animal<br>动作[dòngzuò]: motion, movement
面	face, surface, plane, side, aspect	miàn		1	Pictograph - Picture of a human face	前面[qiánmiàn]: ahead, in front, preceding, above<br>后面[hòumian]: rear, back, behind, later, afterwards<br>面条[miàntiáo]: noodles
起	to rise, to raise, to get up, to initiate (action), to go up	qǐ		1	Pictophonetic - Walk 走 suggests the meaning while 巳 provides the pronunciation.	对不起[duìbuqǐ]: unworthy, to let down, I'm sorry, excuse me, pardon me<br>一起[yīqǐ]: the same place, together<br>起床[qǐchuáng]: to get up
看	to see, to watch, to look, to look after, to take care of	kàn	kān	1	Ideograph - Put a hand 手 over the eye 目 to see	看见[kànjiàn]: to see, to catch sight of<br>看法[kànfǎ]: view<br>看不起[kànbùqǐ]: look down upon
定	to set, to fix, to determine, to decide, to order	dìng		3	Ideograph - People 人 settle 下 in the house 宀	一定[yīdìng]: fixed, definite, given, necessarily<br>决定[juédìng]: decide, resolve, decision, resolution<br>肯定[kěndìng]: to be sure, to be certain, sure, certain, definite
天	day, sky, heaven, god, celestial	tiān		1	Ideograph - the heaven 一 above a man 大	今天[jīntiān]: today, at the present, now<br>天气[tiānqì]: weather<br>明天[míngtiān]: tomorrow
分	to divide, to separate, to allocate, to distinguish (good and bad), part or subdivision	fēn	fèn	1	Ideograph - separate 八 with a knife 刀	分钟[fēnzhōng]: a minute<br>十分[shífēn]: to divide into ten equal parts, very, hundred percent, completely, extremely<br>百分之[bǎifēnzhī]: percent
还	also, in addition, more, still, else	hái	huán	2	Pictophonetic - Simplified form of 還, walk 辶 with 睘 (phonetic), 不 is the simplified form of 睘	还是[háishì]: or, still, nevertheless<br>讨价还价[tǎojiàhuánjià]: haggle over price<br>偿还[chánghuán]: to repay, to reimburse
进	to advance, to enter, to come in, to make progress	jìn		2	Pictophonetic - Walk 辶 with well 井 (phonetic)	进行[jìnxíng]: to advance, to conduct, underway, in progress, to do<br>促进[cùjìn]: to promote (an idea or cause), to advance, boost<br>改进[gǎijìn]: improve, make better, improvement
好	good, well, nice, excellent, fine	hǎo	hào	1	Ideograph - A woman 女 with a child 子	好吃[hǎochī]: tasty, delicious<br>爱好[àihào]: love, be fond of, like, interest, hobby<br>友好[yǒuhǎo]: friendly (relations)
小	small, tiny, few, insignificant, young	xiǎo		1	Ideograph - Split off 八 with a line 亅	小姐[xiǎojiě]: young lady, miss<br>小时[xiǎoshí]: hour<br>小心[xiǎoxīn]: to be careful, to take care
部	ministry, department, section, part, unit	bù		4	Pictophonetic - Town 阝 suggests the meaning while 咅 provides the pronunciation.	全部[quánbù]: whole, entire, complete<br>部分[bùfēn]: part, section, component<br>俱乐部[jùlèbù]: club
其	his, her, its, their, that	qí		3	Phonetic loan - from 箕 (winnowing basket)	其他[qítā]: other, the others, else, other than (that person), in addition to the person mentioned above<br>其实[qíshí]: actually, in fact, really<br>其中[qízhōng]: among, in, included among these
些	little, few, rather, somewhat, some	xiē		1	Pictophonetic - Two 二 indicates the meaniming, a few, while 此 provides the sound	一些[yīxiē]: a number of, certain, a few, a little<br>哪些[nǎxiē]: which ones?, who?, what?<br>有些[yǒuxiē]: have-a-little, somewhat, rather, a little
主	to own, to host, master, lord, primary	zhǔ		3	Pictograph - Picture of a oil lamp 王 with a flame 丶	主要[zhǔyào]: main, principal, major, primary<br>主意[zhǔyì]: idea, plan, decision<br>主人[zhǔrén]: master, host, owner
样	manner, pattern, way, appearance, shape	yàng		1	Pictophonetic - Wood 木 suggests the meaning while 羊 provides the pronunciation.	怎么样[zěnmeyàng]: how?, how about?, how was it?, how are things?<br>一样[yīyàng]: the same, equally, alike, as … as …<br>样子[yàngzi]: shape, appearance, manner, model
理	reason, logic, science, inner principle or structure	lǐ		3	Pictophonetic - Jade 王 suggests the meaning while 里 provides the pronunciation.	经理[jīnglǐ]: manager, director<br>修理[xiūlǐ]: to repair, to perform maintenance, to overhaul, to fix, to prune<br>整理[zhěnglǐ]: to arrange, to tidy up, to sort out, to straighten out, to list systematically
心	heart, mind, intelligence, soul, Kangxi radical number 61	xīn		3	Pictograph - Picture of a heart	关心[guānxīn]: to care for something, caring, concerned<br>小心[xiǎoxīn]: to be careful, to take care<br>担心[dānxīn]: anxious, worried, uneasy, to worry, to be anxious
她	she, her	tā		1	Pictophonetic - A woman 女 with 也 (phonetic)	她们[tāmen]: they, them (for females)
本	roots, stems of plants, origin, source, this	běn		1	Pictograph - Roots 一 of a tree 木	笔记本[bǐjìběn]: Notepad, labtop computer<br>本来[běnlái]: original, originally, at first, it goes without saying, of course<br>基本[jīběn]: basic, fundamental, main, elementary
前	before, in front, ago, former, previous	qián		1	Ideograph - Feet 止 on a boat 舟 (altered) with two poles刂, suggesting moving forward.	前面[qiánmiàn]: ahead, in front, preceding, above<br>以前[yǐqián]: before, formerly<br>提前[tíqián]: to shift to an earlier date, to bring forward, to advance
开	to open, to initiate, to begin, to start, to operate (vehicle)	kāi		1	Ideograph - Simplified form of 開, hands 廾 taking off the latch 一 and opening the door 門	开始[kāishǐ]: begin, start<br>离开[líkāi]: to depart, to leave<br>开心[kāixīn]: to feel happy, to rejoice, to have a great time, to make fun of somebody
但	but, yet, however, only, merely	dàn		2	Pictophonetic - Person 亻 with the phonetic component 旦	但是[dànshì]: but, however<br>不但[bùdàn]: not only (... but also...)<br>但愿[dànyuàn]: if only (something were possible), I wish (that)
因	cause, reason, because	yīn		2	Pictograph - a person 大 lying on a mattress 囗	因为[yīnwèi]: because, owing to, on account of<br>原因[yuányīn]: cause, reason<br>因此[yīncǐ]: thus, consequently, as a result
只	only, just, simply, measure word for birds and certain animals or one of a pair	zhī	zhǐ	3	Ideograph - Mouth 口 with eight 八	只有[zhǐyǒu]: only<br>只好[zhǐhǎo]: without any better option, to have to, to be forced to<br>只要[zhǐyào]: if only, so long as
从	from, by, since, whence, through	cóng		2	Ideograph - One person 人 follows another 人	从来[cónglái]: always, at all times, never (if used in negative sentence)<br>从事[cóngshì]: to go for, to engage in, to undertake, to deal with, to handle<br>从前[cóngqián]: previously, formerly, once upon a time
想	to think, to believe, to speculate, to consider, to suppose	xiǎng		1	Pictophonetic - Heart 心 suggests the meaning while 相 provides the pronunciation.	理想[lǐxiǎng]: ideal<br>幻想[huànxiǎng]: delusion, fantasy<br>思想[sīxiǎng]: thought, thinking, idea, ideology
实	real, true, honest, sincere, really	shí		3	Ideograph - A head 头 in a room 宀	其实[qíshí]: actually, in fact, really<br>实在[shízài]: in reality, honestly, really, verily, concrete<br>实际[shíjì]: actual, reality, practice
日	day, sun, date, day of the month, daytime	rì		1	Pictograh - Picture of sun	生日[shēngrì]: birthday<br>节日[jiérì]: festival, holiday<br>日记[rìjì]: diary
军	army, military, soldiers, troops	jūn		5	Ideograph - Simplified form of 軍, men 冖 (distorted 力) in a chariot	军事[jūnshì]: military affairs, military matters, military<br>冠军[guànjūn]: champion<br>亚军[yàjūn]: second place (in a sports contest), runner-up
者	that which, he who, those who	zhě		3	Ideograph - An old 耂 person sitting on a bench 日	或者[huòzhě]: or, possibly, maybe, perhaps<br>作者[zuòzhě]: author, writer<br>记者[jìzhě]: reporter, correspondent, newsman
意	thought, idea, opinion, meaning, wish	yì		2	Pictophonetic - Heart 心 suggests the meaning while 音 provides the pronunciation.	意思[yìsī]: meaning, idea, wish, appreciation<br>同意[tóngyì]: to agree, to consent, to approve<br>愿意[yuànyì]: to wish, to want, ready, willing (to do something)
无	no, none, not, to lack, negative	wú		4	Phonetic loan - Simplified form of 無, a dancer with something in each hand, borrowed for sound (see also 舞)	无聊[wúliáo]: nonsense, bored<br>无论[wúlùn]: no matter what or how, regardless of whether...<br>无奈[wúnài]: helpless, without choice, for lack of better option, grudgingly, willy-nilly
力	power, force, strength, capability, influence	lì		3	Pictograph - picture of a plow or tendon, implying strength	努力[nǔlì]: great effort, to strive, to try hard<br>力气[lìqì]: strength<br>压力[yālì]: pressure
它	it, other	tā		2	Phonetic loan - original form of snake 蛇, borrowed for sound	其它[qítā]: other (things)<br>它们[tāmen]: they (for inanimate objects)<br>吉它[jítā]: a guitar
与	and, with, to, for, give	yǔ	yù, yú	4	Pictograph - A spoon 勺 with something 一 in it	与其[yǔqí]: rather than...<br>参与[cānyù]: to participate (in something)<br>与日俱增[yǔrìjùzēng]: to increase steadily, to grow with each passing day
长	long, length, excel in, lasting, leader	cháng	zhǎng	2	Pictograph - Simplified form of 長, picture of a person with long hair	校长[xiàozhǎng]: headmaster, schoolmaster<br>长城[chángchéng]: the Great Wall<br>长江[chángjiāng]: Changjiang River, Yangtze River
把	to hold, to contain, to grasp, to take hold of, handle	bǎ	bà	3	Pictophonetic - hand 扌 with 巴 (phonetic)	把握[bǎwò]: to grasp (also fig.), to seize, to hold, assurance, certainty<br>把关[bǎguān]: to guard a pass, to check on something<br>把手[bǎshǒu]: handle, grip, knob
机	machine, opportunity, secret, desk, moment	jī		1	Pictophonetic - A desk made of wood 木, 几 provides sound	飞机[fēijī]: aircraft, airplane, plane<br>手机[shǒujī]: cell phone<br>机场[jīchǎng]: airport, airfield, aerodrome
十	ten, 10, complete, perfect, Kangxi radical number 24	shí		1	Ideograph - the four directions(north, east, south and west)	十分[shífēn]: to divide into ten equal parts, very, hundred percent, completely, extremely<br>十足[shízú]: ample, complete, hundred percent, a pure shade (of some color)<br>三十[sānshí]: thirty, 30
民	the people, nationality, citizen	mín		4	Pictograph - Picture of a sprouting plant	民族[mínzú]: nation, nationality<br>人民币[rénmínbì]: Chinese yuan, RMB, Chinese dollar<br>农民[nóngmín]: peasant
第	sequence, number, grade, degree, prefix before a number	dì		2	Pictophonetic - Bamboo 竹 strips arranged in sequence. 弟(altered) provides the sound	第一[dìyī]: first, number one<br>第二[dìèr]: second, number two, next<br>第五[dìwǔ]: fifth
公	just, honorable (designation), public, common, fair	gōng		2	Ideograh - divide 八 what was private for eating with mouth 厶	公共汽车[gōnggòngqìchē]: bus (for public transit)<br>公司[gōngsī]: company<br>公园[gōngyuán]: park
此	this, these, in this case, then, such	cǐ		4	Pictophonetic - A man 匕 standing here, 止 provides sound	因此[yīncǐ]: thus, consequently, as a result<br>从此[cóngcǐ]: from now on, since then, henceforth<br>彼此[bǐcǐ]: each other, one another
